,title,release_year,locations,Input Name,Best Guess,Unnamed: 0,index,eas_baseid,address,address_number,street_name,street_type,zip_code,cnn,longitude,latitude,point,supdist,supdistpad,numbertext,nhood,data_as_of,data_loaded_at,address_number_suffix,complete_landmark_name,release_decade
480,Pacific Heights,1990,financial district,financial district,1 ina ct,74271.0,4271.0,388980.0,1 ina ct,1.0,ina,ct,94112.0,7182000.0,-122.42432421,37.72377167,"{'type': 'Point', 'coordinates': [-122.424324209, 37.72377167]}",SUPERVISORIAL DISTRICT 11,11.0,ELEVEN,Excelsior,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,,1990
481,Chance- Season 1 ep108,2016,st. mary's square park,st. mary's square park,131 a park st,24453.0,4453.0,483105.0,131 a park st,131.0,park,st,94110.0,10262000.0,-122.42279094,37.7369627,"{'type': 'Point', 'coordinates': [-122.422790942, 37.736962702]}",SUPERVISORIAL DISTRICT 9,9.0,NINE,Bernal Heights,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,,2010
482,Americana,2015,bernal heights park,bernal heights park,10 bernal heights blvd,6439.0,1439.0,456072.0,10 bernal heights blvd,10.0,bernal heights,blvd,94110.0,2941000.0,-122.41516146,37.74306147,"{'type': 'Point', 'coordinates': [-122.415161463, 37.743061471]}",SUPERVISORIAL DISTRICT 9,9.0,NINE,Bernal Heights,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,,2010
483,GirlBoss,2017,green and divisadero,green and divisadero,4 divisadero st,168394.0,3394.0,274938.0,4 divisadero st,4.0,divisadero,st,94117.0,4796000.0,-122.43624595,37.76742383,"{'type': 'Point', 'coordinates': [-122.436245945, 37.767423826]}",SUPERVISORIAL DISTRICT 8,8.0,EIGHT,Castro/Upper Market,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,2010
484,Nash Bridges,2021,tayor street at the embarcadero,tayor street at the embarcadero,0 the embarcadero,21.0,21.0,481023.0,0 the embarcadero,0.0,embarcadero,,94105.0,12549201.0,-122.38636372,37.78812404,"{'type': 'Point', 'coordinates': [-122.386363719, 37.78812404]}",SUPERVISORIAL DISTRICT 6,6.0,SIX,Financial District/South Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,,2020
485,Copycat,1995,82 & 67 rico way (marina district),82 & 67 rico way (marina district),76 a rico way,205366.0,366.0,491974.0,76 a rico way,76.0,rico,way,94123.0,11018000.0,-122.439799,37.8052933,"{'type': 'Point', 'coordinates': [-122.439798996, 37.8052933]}",SUPERVISORIAL DISTRICT 2,2.0,TWO,Marina,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,,1990
486,"Budding Prospects, Pilot",2017,2007 franklin street,2007 franklin street,2007 franklin st,74882.0,4882.0,286072.0,2007 franklin st,2007.0,franklin,st,94109.0,5829000.0,-122.42479202,37.79337739,"{'type': 'Point', 'coordinates': [-122.424792016, 37.793377387]}",SUPERVISORIAL DISTRICT 2,2.0,TWO,Pacific Heights,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,Haas-Lilienthal House,2010
487,Invasion of the Body Snatchers,1978,"postcard row (alamo square, hayes valley)","postcard row (alamo square, hayes valley)",30 a valley st,124803.0,4803.0,503565.0,30 a valley st,30.0,valley,st,94110.0,13125000.0,-122.42301293,37.7449671,"{'type': 'Point', 'coordinates': [-122.423012928, 37.744967103]}",SUPERVISORIAL DISTRICT 8,8.0,EIGHT,Noe Valley,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,A,,1970
488,The OA Part II,2019,1101 green st,1101 green st,1101 green st,6977.0,1977.0,278151.0,1101 green st,1101.0,green,st,94109.0,6462000.0,-122.41739407,37.7982345,"{'type': 'Point', 'coordinates': [-122.417394065, 37.7982345]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Russian Hill,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,2010
489,Chu Chu and the Philly Flash,1981,22nd and carolina streets (potrero hill),22nd and carolina streets (potrero hill),972 a carolina st,222394.0,2394.0,491703.0,972 a carolina st,972.0,carolina,st,94107.0,3714201.0,-122.40011856,37.7562063,"{'type': 'Point', 'coordinates': [-122.400118562, 37.756206302]}",SUPERVISORIAL DISTRICT 10,10.0,TEN,Potrero Hill,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,,1980
490,Sense8,2015,vallejo street garage; 766 vallejo st.,vallejo street garage; 766 vallejo st.,466 a vallejo st,163835.0,3835.0,466361.0,466 a vallejo st,466.0,vallejo,st,94133.0,13088000.0,-122.4052242,37.79939636,"{'type': 'Point', 'coordinates': [-122.405224203, 37.799396363]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,North Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,,2010
491,Dirty Harry,1971,mission dolores park (mission district),mission dolores park (mission district),261 c dolores st,107920.0,2920.0,474316.0,261 c dolores st,261.0,dolores,st,94103.0,4865101.0,-122.42589748,37.76532655,"{'type': 'Point', 'coordinates': [-122.425897475, 37.765326548]}",SUPERVISORIAL DISTRICT 8,8.0,EIGHT,Mission,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,C,,1970
492,Fearless,1993,5th and beale streets,5th and beale streets,25 beale st,106611.0,1611.0,477608.0,25 beale st,25.0,beale,st,94105.0,2863000.0,-122.39643401,37.79236353,"{'type': 'Point', 'coordinates': [-122.396434007, 37.792363527]}",SUPERVISORIAL DISTRICT 6,6.0,SIX,Financial District/South Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,,1990
493,DEVS,2020,judah at 9th ave,judah at 9th ave,526 a judah st,172995.0,2995.0,485182.0,526 a judah st,526.0,judah,st,94122.0,7645201.0,-122.46780268,37.76235042,"{'type': 'Point', 'coordinates': [-122.467802677, 37.762350418]}",SUPERVISORIAL DISTRICT 7,7.0,SEVEN,Inner Sunset,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,,2020
494,When We Rise,2017,24th st. between florida and alabama,24th st. between florida and alabama,1234 b alabama st,16897.0,1897.0,436345.0,1234 b alabama st,1234.0,alabama,st,94110.0,2118000.0,-122.41121293,37.75212255,"{'type': 'Point', 'coordinates': [-122.411212929, 37.752122546]}",SUPERVISORIAL DISTRICT 9,9.0,NINE,Mission,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,B,,2010
495,The Fog of War,2003,Empty,Empty,Empty,,,,,,,,,,,,,,,,nan,,,,,2000
496,Pushing Dead,2016,"double happiness health, 3380 20th street","double happiness health, 3380 20th street",1038 b pine st,2993.0,2993.0,464296.0,1038 b pine st,1038.0,pine,st,94109.0,10471000.0,-122.41304453,37.79086087,"{'type': 'Point', 'coordinates': [-122.413044533, 37.790860867]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Nob Hill,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,B,,2010
497,Chance- Season 1 ep106,2016,grant between union and green,grant between union and green,441 b union st,158996.0,3996.0,478228.0,441 b union st,441.0,union,st,94133.0,12841000.0,-122.40663772,37.80057953,"{'type': 'Point', 'coordinates': [-122.406637717, 37.800579534]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,North Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,B,,2010
498,Zodiac,2007,sf chronicle building (901 mission st),sf chronicle building (901 mission st),1021 b mission st,1879.0,1879.0,490884.0,1021 b mission st,1021.0,mission,st,94103.0,9100000.0,-122.40891421,37.78033762,"{'type': 'Point', 'coordinates': [-122.408914205, 37.780337618]}",SUPERVISORIAL DISTRICT 6,6.0,SIX,South of Market,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,B,,2000
499,Magnum Force,1973,san francisco international airport,san francisco international airport,370 a francisco st,142865.0,2865.0,276017.0,370 a francisco st,370.0,francisco,st,94133.0,5760000.0,-122.41133108,37.80523289,"{'type': 'Point', 'coordinates': [-122.411331083, 37.805232888]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,North Beach,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,A,,1970
500,High Crimes,2002,vesuvio café (255 columbus avenue),vesuvio café (255 columbus avenue),255 columbus ave,104991.0,4991.0,497338.0,255 columbus ave,255.0,columbus,ave,94133.0,4290000.0,-122.40611093,37.79733298,"{'type': 'Point', 'coordinates': [-122.40611093, 37.797332984]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Chinatown,2025-01-19T03:39:00.000,2025-01-19T10:04:00.630,,,2000
501,Chance - Season 1 ep105,2016,60 leavenworth st.,60 leavenworth st.,60 leavenworth st,185158.0,158.0,282024.0,60 leavenworth st,60.0,leavenworth,st,94102.0,8238000.0,-122.41357486,37.78115917,"{'type': 'Point', 'coordinates': [-122.413574856, 37.781159173]}",SUPERVISORIAL DISTRICT 5,5.0,FIVE,Tenderloin,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,2010
502,When a Man Loves a Woman,1994,"victor's restaurant, the westin st. francis hotel (335 powell street)","victor's restaurant, the westin st. francis hotel (335 powell street)",2033 a powell st,76636.0,1636.0,477458.0,2033 a powell st,2033.0,powell,st,94133.0,10700000.0,-122.41175848,37.80338618,"{'type': 'Point', 'coordinates': [-122.411758477, 37.803386178]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,North Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,,1990
503,Sense8 - Season 2,2016,"julia morgan ballroom at the merchant's exchange building, 465 california st.","julia morgan ballroom at the merchant's exchange building, 465 california st.",6465 a california st,190364.0,364.0,422124.0,6465 a california st,6465.0,california,st,94121.0,3603000.0,-122.48685673,37.78355207,"{'type': 'Point', 'coordinates': [-122.486856727, 37.783552074]}",SUPERVISORIAL DISTRICT 1,1.0,ONE,Outer Richmond,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,A,,2010
504,Star Trek IV: The Voyage Home,1986,north beach,north beach,1 beach st,74073.0,4073.0,275821.0,1 beach st,1.0,beach,st,94133.0,2838000.0,-122.40957206,37.80774727,"{'type': 'Point', 'coordinates': [-122.40957206, 37.807747274]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,North Beach,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,1980
505,Sudden Impact,1983,"pier 38-40, the embarcadero","pier 38-40, the embarcadero",30 the embarcadero,125237.0,237.0,440219.0,30 the embarcadero,30.0,embarcadero,,94105.0,12553103.0,-122.39385371,37.79419169,"{'type': 'Point', 'coordinates': [-122.393853705, 37.794191691]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Financial District/South Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,,1980
506,Ant-Man,2015,lombard at hyde,lombard at hyde,819 d lombard st,210325.0,325.0,493042.0,819 d lombard st,819.0,lombard,st,94133.0,8446000.0,-122.41506986,37.80226449,"{'type': 'Point', 'coordinates': [-122.415069858, 37.802264492]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Russian Hill,2025-01-19T03:39:00.000,2025-01-19T10:04:00.630,D,,2010
507,The Lady from Shanghai,1947,mandarin theatre (1021 grant avenue),mandarin theatre (1021 grant avenue),1021 grant ave,1900.0,1900.0,279264.0,1021 grant ave,1021.0,grant,ave,94133.0,6397000.0,-122.40703215,37.79633275,"{'type': 'Point', 'coordinates': [-122.407032148, 37.796332747]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Chinatown,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,1940
508,"Murder in the First, Season 1",2014,373 columbus avenue,373 columbus avenue,373 columbus ave,143680.0,3680.0,278556.0,373 columbus ave,373.0,columbus,ave,94133.0,4293000.0,-122.4078231,37.79838182,"{'type': 'Point', 'coordinates': [-122.407823098, 37.798381821]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Chinatown,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,2010
509,The Matrix Resurrections,2021,pine between front and montgomery,pine between front and montgomery,845 b montgomery st,213039.0,3039.0,477292.0,845 b montgomery st,845.0,montgomery,st,94133.0,9308000.0,-122.40390055,37.79691392,"{'type': 'Point', 'coordinates': [-122.403900552, 37.796913923]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Chinatown,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,B,,2020
510,Sense8,2015,laguna honda hospital; 375 laguna honda blvd.,laguna honda hospital; 375 laguna honda blvd.,375 laguna honda blvd,144135.0,4135.0,449510.0,375 laguna honda blvd,375.0,laguna honda,blvd,94131.0,7990101.0,-122.45697402,37.74772932,"{'type': 'Point', 'coordinates': [-122.456974017, 37.747729326]}",SUPERVISORIAL DISTRICT 7,7.0,SEVEN,Twin Peaks,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,,2010
511,"Murder in the First, Season 1",2014,800 bay street,800 bay street,800 bay st,208505.0,3505.0,275884.0,800 bay st,800.0,bay,st,94109.0,2781000.0,-122.42033464,37.80487862,"{'type': 'Point', 'coordinates': [-122.420334639, 37.804878625]}",SUPERVISORIAL DISTRICT 2,2.0,TWO,Russian Hill,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,2010
512,Looking Season 2 ep 208,2015,"citizens band, 1198 folsom street","citizens band, 1198 folsom street",1198 folsom st,13079.0,3079.0,492684.0,1198 folsom st,1198.0,folsom,st,94103.0,5677000.0,-122.41007944,37.77529506,"{'type': 'Point', 'coordinates': [-122.410079441, 37.775295061]}",SUPERVISORIAL DISTRICT 6,6.0,SIX,South of Market,2025-01-19T03:39:00.000,2025-01-19T10:04:00.630,,,2010
513,Looking Season 2 ep 204,2015,534 hyde street,534 hyde street,534 hyde st,174531.0,4531.0,281613.0,534 hyde st,534.0,hyde,st,94109.0,7120000.0,-122.41613073,37.78592997,"{'type': 'Point', 'coordinates': [-122.416130725, 37.785929974]}",SUPERVISORIAL DISTRICT 5,5.0,FIVE,Tenderloin,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,2010
514,Chance- Season 1 ep104,2016,"bayview police station, 201 williams ave.","bayview police station, 201 williams ave.",220 a williams ave,85963.0,963.0,378090.0,220 a williams ave,220.0,williams,ave,94124.0,13658000.0,-122.39769389,37.73024927,"{'type': 'Point', 'coordinates': [-122.397693894, 37.730249275]}",SUPERVISORIAL DISTRICT 10,10.0,TEN,Bayview Hunters Point,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,A,,2010
515,A View to a Kill,1985,golden gate bridge,golden gate bridge,35 golden gate ave,139814.0,4814.0,504218.0,35 golden gate ave,35.0,golden gate,ave,94102.0,6259000.0,-122.41125013,37.78205104,"{'type': 'Point', 'coordinates': [-122.411250124, 37.782051037]}",SUPERVISORIAL DISTRICT 5,5.0,FIVE,Tenderloin,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,,,1980
516,"Murder in the First, Season 1",2014,24th street between folsom and harrison streets,24th street between folsom and harrison streets,2413 a harrison st,97480.0,2480.0,474040.0,2413 a harrison st,2413.0,harrison,st,94110.0,6753000.0,-122.41215087,37.75856607,"{'type': 'Point', 'coordinates': [-122.412150871, 37.758566069]}",SUPERVISORIAL DISTRICT 9,9.0,NINE,Mission,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,,2010
517,When We Rise,2017,haight st. at central,haight st. at central,57 a haight st,181464.0,1464.0,455705.0,57 a haight st,57.0,haight,st,94102.0,6603000.0,-122.4229983,37.77280807,"{'type': 'Point', 'coordinates': [-122.422998297, 37.772808071]}",SUPERVISORIAL DISTRICT 6,6.0,SIX,Hayes Valley,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,,2010
518,Junior,1994,united nations plaza (civic center),united nations plaza (civic center),10 united nations plz,6813.0,1813.0,282042.0,10 united nations plz,10.0,united nations,plz,94102.0,5880000.0,-122.41320393,37.78046933,"{'type': 'Point', 'coordinates': [-122.413203926, 37.78046933]}",SUPERVISORIAL DISTRICT 5,5.0,FIVE,Tenderloin,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,1990
519,Bitter Melon,2018,298 11th st,298 11th st,298 11th st,120783.0,783.0,357961.0,298 11th st,298.0,11th,st,94103.0,514000.0,-122.4143362,37.7719279,"{'type': 'Point', 'coordinates': [-122.414336201, 37.771927903]}",SUPERVISORIAL DISTRICT 6,6.0,SIX,Mission,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,,2010
520,Chance- Season 1 ep109,2016,60 leavenworth st.,60 leavenworth st.,60 leavenworth st,185158.0,158.0,282024.0,60 leavenworth st,60.0,leavenworth,st,94102.0,8238000.0,-122.41357486,37.78115917,"{'type': 'Point', 'coordinates': [-122.413574856, 37.781159173]}",SUPERVISORIAL DISTRICT 5,5.0,FIVE,Tenderloin,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,2010
521,Looking,2014,fort funston,fort funston,2 funston ave,121509.0,1509.0,487314.0,2 funston ave,2.0,funston,ave,94129.0,19126000.0,-122.45514972,37.80050075,"{'type': 'Point', 'coordinates': [-122.455149714, 37.80050075]}",SUPERVISORIAL DISTRICT 2,2.0,TWO,Presidio,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,,2010
522,Looking,2014,fort funston,fort funston,2 funston ave,121510.0,1510.0,482693.0,2 funston ave,2.0,funston,ave,94118.0,5957000.0,-122.4721864,37.78678978,"{'type': 'Point', 'coordinates': [-122.472186402, 37.786789781]}",SUPERVISORIAL DISTRICT 1,1.0,ONE,Inner Richmond,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,,2010
523,Chance Season 2,2017,"taylor st, north of jefferson st to end","taylor st, north of jefferson st to end",1 jefferson st,74279.0,4279.0,461105.0,1 jefferson st,1.0,jefferson,st,94133.0,7455000.0,-122.4132503,37.80805367,"{'type': 'Point', 'coordinates': [-122.413250304, 37.808053668]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,North Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,,2010
524,"Murder in the First, Season 2",2015,1059 texas street,1059 texas street,1045 texas st,3540.0,3540.0,474681.0,1045 texas st,1045.0,texas,st,94107.0,12545000.0,-122.39434692,37.75318879,"{'type': 'Point', 'coordinates': [-122.394346923, 37.753188795]}",SUPERVISORIAL DISTRICT 10,10.0,TEN,Potrero Hill,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,,2010
525,About a Boy,2014,powell from bush and sutter,powell from bush and sutter,1541 b powell st,44414.0,4414.0,278227.0,1541 b powell st,1541.0,powell,st,94133.0,10694000.0,-122.41080883,37.79885029,"{'type': 'Point', 'coordinates': [-122.410808834, 37.798850293]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Chinatown,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,B,,2010
526,Nine Months,1995,jack kerouac alley between columbus & grant streets,jack kerouac alley between columbus & grant streets,17 jack kerouac aly,62761.0,2761.0,499408.0,17 jack kerouac aly,17.0,jack kerouac,aly,94133.0,7354000.0,-122.40657048,37.79746845,"{'type': 'Point', 'coordinates': [-122.40657048, 37.797468455]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Chinatown,2025-01-19T03:39:00.000,2025-01-19T10:04:00.630,,,1990
527,Guess Who's Coming to Dinner,1967,sutter street between powell and mason,sutter street between powell and mason,114 a powell st,10210.0,210.0,456677.0,114 a powell st,114.0,powell,st,94102.0,10676000.0,-122.4077859,37.78586498,"{'type': 'Point', 'coordinates': [-122.407785894, 37.785864978]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Financial District/South Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,,1960
528,The Pursuit of Happyness,2006,golden gate park children's playground,golden gate park children's playground,35 golden gate ave,139814.0,4814.0,504218.0,35 golden gate ave,35.0,golden gate,ave,94102.0,6259000.0,-122.41125013,37.78205104,"{'type': 'Point', 'coordinates': [-122.411250124, 37.782051037]}",SUPERVISORIAL DISTRICT 5,5.0,FIVE,Tenderloin,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,,,2000
529,Looking Season 2 ep 202,2015,1400 16th street,1400 16th street,1400 16th st,31824.0,1824.0,366728.0,1400 16th st,1400.0,16th,st,94103.0,708000.0,-122.40130106,37.76681904,"{'type': 'Point', 'coordinates': [-122.401301063, 37.766819045]}",SUPERVISORIAL DISTRICT 6,6.0,SIX,Mission Bay,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,,2010
530,Looking Season 2 ep 205,2015,24th between portrero & alabama,24th between portrero & alabama,1234 b alabama st,16897.0,1897.0,436345.0,1234 b alabama st,1234.0,alabama,st,94110.0,2118000.0,-122.41121293,37.75212255,"{'type': 'Point', 'coordinates': [-122.411212929, 37.752122546]}",SUPERVISORIAL DISTRICT 9,9.0,NINE,Mission,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,B,,2010
531,Goliath- Season 4,2021,crissy field beach,crissy field beach,654 crissy field ave,191446.0,1446.0,486933.0,654 crissy field ave,654.0,crissy field,ave,94129.0,19074000.0,-122.46783161,37.80333005,"{'type': 'Point', 'coordinates': [-122.467831612, 37.803330054]}",SUPERVISORIAL DISTRICT 2,2.0,TWO,Presidio,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,,2020
532,Etruscan Smile,2017,"st regis hotel, 125 3rd street","st regis hotel, 125 3rd street",Empty,,,,,,,,,,,,,,,,nan,,,,,2010
533,Looking Season 2 ep 203,2015,"mission rec center, 2450 harrison street","mission rec center, 2450 harrison street",2450 harrison st,99665.0,4665.0,362566.0,2450 harrison st,2450.0,harrison,st,94110.0,6753000.0,-122.41258602,37.75814873,"{'type': 'Point', 'coordinates': [-122.412586022, 37.758148734]}",SUPERVISORIAL DISTRICT 9,9.0,NINE,Mission,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,,2010
534,The Last Thing He Told Me,2023,oracle park,oracle park,131 a park st,24453.0,4453.0,483105.0,131 a park st,131.0,park,st,94110.0,10262000.0,-122.42279094,37.7369627,"{'type': 'Point', 'coordinates': [-122.422790942, 37.736962702]}",SUPERVISORIAL DISTRICT 9,9.0,NINE,Bernal Heights,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,,2020
535,High Crimes,2002,condor club (columbus and broadway),condor club (columbus and broadway),4 columbus ave,168376.0,3376.0,279801.0,4 columbus ave,4.0,columbus,ave,94111.0,4286000.0,-122.40364725,37.79601406,"{'type': 'Point', 'coordinates': [-122.403647251, 37.796014065]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Chinatown,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,2000
536,Nash Bridges,2021,"broadway studios, 435 broadway","broadway studios, 435 broadway",135 a broad st,28445.0,3445.0,467526.0,135 a broad st,135.0,broad,st,94112.0,3138000.0,-122.45716534,37.71290197,"{'type': 'Point', 'coordinates': [-122.457165336, 37.712901973]}",SUPERVISORIAL DISTRICT 11,11.0,ELEVEN,Oceanview/Merced/Ingleside,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,,2020
537,Woman on the Run,1950,cable car signal box (california street at powell street),cable car signal box (california street at powell street),1373 a california st,29893.0,4893.0,424246.0,1373 a california st,1373.0,california,st,94109.0,3546000.0,-122.41679143,37.79074643,"{'type': 'Point', 'coordinates': [-122.416791433, 37.790746429]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Nob Hill,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,A,,1950
538,Nine to Five,1980,albert s. samuels clock (856 market street between powell and stockton),albert s. samuels clock (856 market street between powell and stockton),1851 a stockton st,66330.0,1330.0,476144.0,1851 a stockton st,1851.0,stockton,st,94133.0,12216000.0,-122.41001811,37.80279886,"{'type': 'Point', 'coordinates': [-122.410018112, 37.80279886]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,North Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,,1980
539,Ant-Man and the Wasp,2018,geary st - hyde st - ellis st,geary st - hyde st - ellis st,965 e hyde st,221973.0,1973.0,458669.0,965 e hyde st,965.0,hyde,st,94109.0,7124000.0,-122.41746122,37.78986096,"{'type': 'Point', 'coordinates': [-122.417461222, 37.789860963]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Nob Hill,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,E,,2010
540,Quicksilver,1986,pacific stock exchange,pacific stock exchange,120 pacific ave,14557.0,4557.0,475907.0,120 pacific ave,120.0,pacific,ave,94111.0,10118000.0,-122.39879338,37.79803259,"{'type': 'Point', 'coordinates': [-122.398793378, 37.798032588]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Financial District/South Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,,1980
541,The Woman In Red,1984,"postcard row (alamo square, hayes valley)","postcard row (alamo square, hayes valley)",30 a valley st,124803.0,4803.0,503565.0,30 a valley st,30.0,valley,st,94110.0,13125000.0,-122.42301293,37.7449671,"{'type': 'Point', 'coordinates': [-122.423012928, 37.744967103]}",SUPERVISORIAL DISTRICT 8,8.0,EIGHT,Noe Valley,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,A,,1980
542,Looking Season 2 ep 209,2015,"tonga room, fairmont hotel, 950 mason street","tonga room, fairmont hotel, 950 mason street",950 mason st,221075.0,1075.0,280508.0,950 mason st,950.0,mason,st,94108.0,8812000.0,-122.41067191,37.79217524,"{'type': 'Point', 'coordinates': [-122.410671906, 37.792175242]}",SUPERVISORIAL DISTRICT 3,3.0,THREE,Nob Hill,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,2010
543,Looking Season 2 ep 202,2015,770 haight street,770 haight street,770 haight st,205671.0,671.0,289430.0,770 haight st,770.0,haight,st,94117.0,6610000.0,-122.43489023,37.77183107,"{'type': 'Point', 'coordinates': [-122.434890232, 37.771831068]}",SUPERVISORIAL DISTRICT 5,5.0,FIVE,Haight Ashbury,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,2010
544,Boys and Girls,2000,fisherman's wharf,fisherman's wharf,12 sherman st,22722.0,2722.0,365900.0,12 sherman st,12.0,sherman,st,94103.0,11803000.0,-122.4068039,37.7770094,"{'type': 'Point', 'coordinates': [-122.406803895, 37.7770094]}",SUPERVISORIAL DISTRICT 6,6.0,SIX,South of Market,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,,2000
545,Etruscan Smile,2017,"mudpie, 2185 fillmore street","mudpie, 2185 fillmore street",2185 fillmore st,84515.0,4515.0,498029.0,2185 fillmore st,2185.0,fillmore,st,94115.0,5553000.0,-122.43427599,37.78959877,"{'type': 'Point', 'coordinates': [-122.434275993, 37.789598775]}",SUPERVISORIAL DISTRICT 2,2.0,TWO,Pacific Heights,2025-01-19T03:39:00.000,2025-01-19T10:04:00.630,,,2010
546,"Budding Prospects, Pilot",2017,40 prentiss street,40 prentiss street,40 prentiss st,151738.0,1738.0,381074.0,40 prentiss st,40.0,prentiss,st,94110.0,10752000.0,-122.41210507,37.74209728,"{'type': 'Point', 'coordinates': [-122.412105068, 37.742097283]}",SUPERVISORIAL DISTRICT 9,9.0,NINE,Bernal Heights,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,,2010
547,Doctor Dolittle,1998,2100 green street,2100 green street,2100 green st,80085.0,85.0,284724.0,2100 green st,2100.0,green,st,94123.0,6474000.0,-122.43398073,37.79658949,"{'type': 'Point', 'coordinates': [-122.433980728, 37.796589486]}",SUPERVISORIAL DISTRICT 2,2.0,TWO,Marina,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,,1990
