,title,release_year,locations,Input Name,Best Guess,index,eas_baseid,address,address_number,street_name,street_type,zip_code,cnn,longitude,latitude,point,supdist,supdistpad,numbertext,nhood,data_as_of,data_loaded_at,address_number_suffix,complete_landmark_name
573,The Other Sister,1999,palace of fine arts (3301 lyon street),palace of fine arts (3301 lyon street),3301 lyon st,1399.0,454272,3301 lyon st,3301,lyon,st,94123,8584000,-122.44829559,37.80188372,"{'type': 'Point', 'coordinates': [-122.448295586, 37.801883717]}",SUPERVISORIAL DISTRICT 2,02,TWO,Marina,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
574,Shit and Champagne,2020,don ramon's restaurant - 225 11th st,don ramon's restaurant - 225 11th st,225 11th st,3695.0,448756,225 11th st,225,11th,st,94103,512000,-122.41495196,37.77293755,"{'type': 'Point', 'coordinates': [-122.414951963, 37.772937555]}",SUPERVISORIAL DISTRICT 6,06,SIX,South of Market,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
575,San Andreas,2015,bay st. at polk,bay st. at polk,1718 a polk st,2334.0,450967,1718 a polk st,1718,polk,st,94109,10572000,-122.42096994,37.79269337,"{'type': 'Point', 'coordinates': [-122.420969939, 37.792693374]}",SUPERVISORIAL DISTRICT 3,03,THREE,Russian Hill,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
576,Foul Play,1978,"fiesta laundromat (898 s. van ness ave., mission)","fiesta laundromat (898 s. van ness ave., mission)",809 van ness ave,4234.0,464301,809 van ness ave,809,van ness,ave,94109,13150101,-122.42124905,37.78299125,"{'type': 'Point', 'coordinates': [-122.421249044, 37.782991246]}",SUPERVISORIAL DISTRICT 2,02,TWO,Western Addition,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
577,Point Blank,1967,alcatraz island,alcatraz island,Empty,,,,,,,,,,,,,,,,,,,
578,The Rock,1996,city hall,city hall,Empty,,,,,,,,,,,,,,,,,,,
579,Chance- Season 1 ep102,2016,"duboce st., duboce café","duboce st., duboce café",141 a duboce ave,3580.0,432424,141 a duboce ave,141,duboce,ave,94103,4981000,-122.42324328,37.76958088,"{'type': 'Point', 'coordinates': [-122.423243279, 37.769580881]}",SUPERVISORIAL DISTRICT 9,09,NINE,Mission,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,A,
580,Dawn of the Planet of the Apes,2014,california & powell,california & powell,1 california st,4109.0,280800,1 california st,1,california,st,94111,3524000,-122.39704304,37.79321375,"{'type': 'Point', 'coordinates': [-122.397043036, 37.793213746]}",SUPERVISORIAL DISTRICT 3,03,THREE,Financial District/South Beach,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
581,Woman on the Run,1950,819 mason street at pine,819 mason street at pine,817 a mason st,144.0,483463,817 a mason st,817,mason,st,94108,8810000,-122.41079874,37.79113225,"{'type': 'Point', 'coordinates': [-122.410798734, 37.791132248]}",SUPERVISORIAL DISTRICT 3,03,THREE,Nob Hill,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
582,Foul Play,1978,montgomery & pine streets (financial district),montgomery & pine streets (financial district),845 a montgomery st,3033.0,473820,845 a montgomery st,845,montgomery,st,94133,9308000,-122.40390055,37.79691392,"{'type': 'Point', 'coordinates': [-122.403900552, 37.796913923]}",SUPERVISORIAL DISTRICT 3,03,THREE,Chinatown,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
583,The Dead Pool,1988,"san francisco national military cemetery (lincoln blvd., the presidio, golden gate national recreation center)","san francisco national military cemetery (lincoln blvd., the presidio, golden gate national recreation center)",1521 a golden gate ave,2684.0,472327,1521 a golden gate ave,1521,golden gate,ave,94115,6273000,-122.43627646,37.77885411,"{'type': 'Point', 'coordinates': [-122.436276464, 37.778854112]}",SUPERVISORIAL DISTRICT 5,05,FIVE,Western Addition,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
584,The Towering Inferno,1974,2898 vallejo street,2898 vallejo street,2898 vallejo st,3211.0,291399,2898 vallejo st,2898,vallejo,st,94123,13122000,-122.44487778,37.79423136,"{'type': 'Point', 'coordinates': [-122.444877777, 37.794231361]}",SUPERVISORIAL DISTRICT 2,02,TWO,Pacific Heights,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
585,Steve Jobs,2015,davies symphony hall (201 van ness ave.),davies symphony hall (201 van ness ave.),2517 a van ness ave,2866.0,504199,2517 a van ness ave,2517,van ness,ave,94123,13167101,-122.42446254,37.79879543,"{'type': 'Point', 'coordinates': [-122.424462535, 37.798795432]}",SUPERVISORIAL DISTRICT 2,02,TWO,Marina,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,A,
586,DEVS,2020,dolores park - dolores at 20th st,dolores park - dolores at 20th st,820 a dolores st,589.0,363063,820 a dolores st,820,dolores,st,94110,4875201,-122.42599711,37.75619819,"{'type': 'Point', 'coordinates': [-122.425997104, 37.756198196]}",SUPERVISORIAL DISTRICT 8,08,EIGHT,Noe Valley,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,A,
587,High Crimes,2002,bank of america building (555 california street),bank of america building (555 california street),1559 a california st,796.0,455712,1559 a california st,1559,california,st,94109,3548000,-122.41992456,37.79036382,"{'type': 'Point', 'coordinates': [-122.419924554, 37.790363817]}",SUPERVISORIAL DISTRICT 3,03,THREE,Nob Hill,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
588,Sense8,2015,palace of fine arts: 3306 lyon st.,palace of fine arts: 3306 lyon st.,636 a lyon st,4008.0,504272,636 a lyon st,636,lyon,st,94117,8559000,-122.44295741,37.77680146,"{'type': 'Point', 'coordinates': [-122.442957405, 37.776801466]}",SUPERVISORIAL DISTRICT 2,02,TWO,Lone Mountain/USF,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,A,
589,Copycat,1995,twin peaks,twin peaks,1 twin peaks blvd,4538.0,343667,1 twin peaks blvd,1,twin peaks,blvd,94114,12759000,-122.44655974,37.76053119,"{'type': 'Point', 'coordinates': [-122.446559743, 37.76053119]}",SUPERVISORIAL DISTRICT 8,08,EIGHT,Inner Sunset,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
590,D.O.A,1950,mark hopkins intercontinental hotel (1 nob hill circle),mark hopkins intercontinental hotel (1 nob hill circle),11 hopkins ave,3486.0,346600,11 hopkins ave,11,hopkins,ave,94131,7023000,-122.4441204,37.75272764,"{'type': 'Point', 'coordinates': [-122.444120403, 37.752727643]}",SUPERVISORIAL DISTRICT 8,08,EIGHT,Twin Peaks,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,
591,Venom: Let There Be Carnage,2021,6th street and jessie street,6th street and jessie street,471 a jessie st,4759.0,483178,471 a jessie st,471,jessie,st,94103,7522000,-122.40828623,37.78193844,"{'type': 'Point', 'coordinates': [-122.408286227, 37.781938438]}",SUPERVISORIAL DISTRICT 6,06,SIX,South of Market,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
592,Looking,2014,muddy waters coffee house,muddy waters coffee house,4 water st,3514.0,502445,4 water st,4,water,st,94133,13454000,-122.41364375,37.80448339,"{'type': 'Point', 'coordinates': [-122.413643748, 37.804483388]}",SUPERVISORIAL DISTRICT 3,03,THREE,North Beach,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,,
593,George of the Jungle,1997,bay bridge,bay bridge,55 ridge ln,3785.0,413406,55 ridge ln,55,ridge,ln,94112,11020000,-122.44953724,37.71795646,"{'type': 'Point', 'coordinates': [-122.449537243, 37.717956463]}",SUPERVISORIAL DISTRICT 11,11,ELEVEN,Oceanview/Merced/Ingleside,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,
594,GirlBoss,2017,"the castro theater, 429 castro st.","the castro theater, 429 castro st.",542 a castro st,846.0,493231,542 a castro st,542,castro,st,94114,3791000,-122.43544261,37.76019656,"{'type': 'Point', 'coordinates': [-122.435442605, 37.760196559]}",SUPERVISORIAL DISTRICT 8,08,EIGHT,Castro/Upper Market,2025-01-19T03:39:00.000,2025-01-19T10:04:00.630,A,
595,The Presidio,1988,200 block of sansome street (financial district),200 block of sansome street (financial district),200 sansome st,173.0,446869,200 sansome st,200,sansome,st,94104,11544000,-122.4007069,37.79229561,"{'type': 'Point', 'coordinates': [-122.400706898, 37.792295613]}",SUPERVISORIAL DISTRICT 3,03,THREE,Financial District/South Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
596,Looking,2014,golden gate bridge,golden gate bridge,35 golden gate ave,4814.0,504218,35 golden gate ave,35,golden gate,ave,94102,6259000,-122.41125013,37.78205104,"{'type': 'Point', 'coordinates': [-122.411250124, 37.782051037]}",SUPERVISORIAL DISTRICT 5,05,FIVE,Tenderloin,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,,
597,The Matrix Resurrections,2021,44 montogomery,44 montogomery,Empty,,,,,,,,,,,,,,,,,,,
598,Blue Jasmine,2013,2934 24th st.,2934 24th st.,2934 24th st,4684.0,370125,2934 24th st,2934,24th,st,94110,1334000,-122.41062246,37.7529368,"{'type': 'Point', 'coordinates': [-122.410622461, 37.752936798]}",SUPERVISORIAL DISTRICT 9,09,NINE,Mission,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,
599,Ant-Man,2015,601 buena vista ave west at java st.,601 buena vista ave west at java st.,601 buena vista ave west,4194.0,341793,601 buena vista ave west,601,buena vista,ave,94117,3368000,-122.44392394,37.76693472,"{'type': 'Point', 'coordinates': [-122.443923939, 37.766934719]}",SUPERVISORIAL DISTRICT 8,08,EIGHT,Haight Ashbury,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
600,Bitter Melon,2018,33 dearborn st,33 dearborn st,33 dearborn st,4326.0,438950,33 dearborn st,33,dearborn,st,94110,4663000,-122.42277429,37.76269942,"{'type': 'Point', 'coordinates': [-122.422774287, 37.762699416]}",SUPERVISORIAL DISTRICT 9,09,NINE,Mission,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
601,Greed,1924,bush and sutter streets,bush and sutter streets,2130 b sutter st,1820.0,428766,2130 b sutter st,2130,sutter,st,94115,12340000,-122.43549089,37.7859659,"{'type': 'Point', 'coordinates': [-122.435490885, 37.785965898]}",SUPERVISORIAL DISTRICT 2,02,TWO,Pacific Heights,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,B,
602,Age of Adaline,2015,montgomery/green,montgomery/green,1 montgomery st,4375.0,281209,1 montgomery st,1,montgomery,st,94104,9297000,-122.4024186,37.78924955,"{'type': 'Point', 'coordinates': [-122.402418596, 37.789249549]}",SUPERVISORIAL DISTRICT 3,03,THREE,Financial District/South Beach,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
603,Golden Gate,1994,golden gate bridge,golden gate bridge,35 golden gate ave,4814.0,504218,35 golden gate ave,35,golden gate,ave,94102,6259000,-122.41125013,37.78205104,"{'type': 'Point', 'coordinates': [-122.411250124, 37.782051037]}",SUPERVISORIAL DISTRICT 5,05,FIVE,Tenderloin,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,,
604,DEVS,2020,corona heights - 16th at flint st,corona heights - 16th at flint st,15 a corona st,3455.0,504092,15 a corona st,15,corona,st,94127,4410000,-122.4678147,37.72210201,"{'type': 'Point', 'coordinates': [-122.467814702, 37.722102014]}",SUPERVISORIAL DISTRICT 7,07,SEVEN,West of Twin Peaks,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,A,
605,Godzilla,2014,embarcadero & washington,embarcadero & washington,0 the embarcadero,21.0,481023,0 the embarcadero,0,embarcadero,,94105,12549201,-122.38636372,37.78812404,"{'type': 'Point', 'coordinates': [-122.386363719, 37.78812404]}",SUPERVISORIAL DISTRICT 6,06,SIX,Financial District/South Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
606,"Murder in the First, Season 1",2014,kearny street between broadway and pacific avenue,kearny street between broadway and pacific avenue,1135 b pacific ave,4401.0,489059,1135 b pacific ave,1135,pacific,ave,94133,10139000,-122.41390955,37.7956021,"{'type': 'Point', 'coordinates': [-122.413909547, 37.795602101]}",SUPERVISORIAL DISTRICT 3,03,THREE,Nob Hill,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,B,
607,Red Widow,2013,pioneer park at coit tower,pioneer park at coit tower,131 a park st,4453.0,483105,131 a park st,131,park,st,94110,10262000,-122.42279094,37.7369627,"{'type': 'Point', 'coordinates': [-122.422790942, 37.736962702]}",SUPERVISORIAL DISTRICT 9,09,NINE,Bernal Heights,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
608,Bullitt,1968,columbus & lombard streets (north beach),columbus & lombard streets (north beach),532 b lombard st,4215.0,483262,532 b lombard st,532,lombard,st,94133,8440000,-122.41041839,37.80344518,"{'type': 'Point', 'coordinates': [-122.410418392, 37.803445185]}",SUPERVISORIAL DISTRICT 3,03,THREE,North Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,B,
609,Freebie and the Bean,1974,potrero hill,potrero hill,44 potrero ave,628.0,366659,44 potrero ave,44,potrero,ave,94103,10658000,-122.40829851,37.76864116,"{'type': 'Point', 'coordinates': [-122.408298508, 37.768641158]}",SUPERVISORIAL DISTRICT 9,09,NINE,Mission,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,
610,Beautiful Boy,2018,ohloff recovery center (601 steiner st),ohloff recovery center (601 steiner st),601 steiner st,4300.0,465751,601 steiner st,601,steiner,st,94117,12124000,-122.43300586,37.77487658,"{'type': 'Point', 'coordinates': [-122.43300586, 37.774876582]}",SUPERVISORIAL DISTRICT 5,05,FIVE,Hayes Valley,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
611,Foul Play,1978,andrew s. hallidie plaza (market & powell streets),andrew s. hallidie plaza (market & powell streets),114 a powell st,210.0,456677,114 a powell st,114,powell,st,94102,10676000,-122.4077859,37.78586498,"{'type': 'Point', 'coordinates': [-122.407785894, 37.785864978]}",SUPERVISORIAL DISTRICT 3,03,THREE,Financial District/South Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
612,Dr. Dolittle 2,2001,"west chrissy field (presidio, golden gate national recreation area)","west chrissy field (presidio, golden gate national recreation area)",1521 a golden gate ave,2684.0,472327,1521 a golden gate ave,1521,golden gate,ave,94115,6273000,-122.43627646,37.77885411,"{'type': 'Point', 'coordinates': [-122.436276464, 37.778854112]}",SUPERVISORIAL DISTRICT 5,05,FIVE,Western Addition,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
613,Super Pumped: The Battle for Uber,2022,missouri & 18th street,missouri & 18th street,158 missouri st,2937.0,366952,158 missouri st,158,missouri,st,94107,9208000,-122.39700456,37.76433431,"{'type': 'Point', 'coordinates': [-122.397004559, 37.764334312]}",SUPERVISORIAL DISTRICT 10,10,TEN,Potrero Hill,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,
614,Ant-Man,2015,intersection of california at polk,intersection of california at polk,1 california st,4109.0,280800,1 california st,1,california,st,94111,3524000,-122.39704304,37.79321375,"{'type': 'Point', 'coordinates': [-122.397043036, 37.793213746]}",SUPERVISORIAL DISTRICT 3,03,THREE,Financial District/South Beach,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
615,The Last Black Man in San Francisco,2019,363 lyon st,363 lyon st,363 lyon st,1189.0,297212,363 lyon st,363,lyon,st,94117,8556000,-122.44298617,37.77420338,"{'type': 'Point', 'coordinates': [-122.442986172, 37.774203385]}",SUPERVISORIAL DISTRICT 5,05,FIVE,Lone Mountain/USF,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
616,The Last Black Man in San Francisco,2019,"red building, 2567 mission st","red building, 2567 mission st",2571 b mission st,610.0,505731,2571 b mission st,2571,mission,st,94110,9123000,-122.41843807,37.75594559,"{'type': 'Point', 'coordinates': [-122.418438069, 37.755945592]}",SUPERVISORIAL DISTRICT 9,09,NINE,Mission,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,B,
617,Shattered,1991,Empty,Empty,Empty,,,,,,,,,,,,,,,,,,,
618,Metro,1997,bush street at jones,bush street at jones,1931 b jones st,780.0,447997,1931 b jones st,1931,jones,st,94133,7590000,-122.41591351,37.79923409,"{'type': 'Point', 'coordinates': [-122.41591351, 37.799234087]}",SUPERVISORIAL DISTRICT 3,03,THREE,Russian Hill,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,B,
619,The Phone/Jexi,2019,farley's coffee - 1315 18th st,farley's coffee - 1315 18th st,1315 18th st,4101.0,367597,1315 18th st,1315,18th,st,94107,855000,-122.39596569,37.76245238,"{'type': 'Point', 'coordinates': [-122.395965689, 37.762452382]}",SUPERVISORIAL DISTRICT 10,10,TEN,Potrero Hill,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,
620,Sudden Fear,1952,2800 scott street,2800 scott street,2800 scott st,473.0,284633,2800 scott st,2800,scott,st,94123,11711000,-122.4399174,37.79575212,"{'type': 'Point', 'coordinates': [-122.439917403, 37.79575212]}",SUPERVISORIAL DISTRICT 2,02,TWO,Marina,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
621,Sense8 - Season 2,2016,"grace cathedral, 1100 california st.","grace cathedral, 1100 california st.",1100 california st,1858.0,458811,1100 california st,1100,california,st,94108,3543000,-122.41338323,37.79200776,"{'type': 'Point', 'coordinates': [-122.413383231, 37.792007757]}",SUPERVISORIAL DISTRICT 3,03,THREE,Nob Hill,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
622,Looking Season 2 ep 203,2015,"mad dog bar, 530 haight street","mad dog bar, 530 haight street",301 a haight st,2526.0,456184,301 a haight st,301,haight,st,94102,6606000,-122.42803328,37.77290698,"{'type': 'Point', 'coordinates': [-122.428033277, 37.772906982]}",SUPERVISORIAL DISTRICT 5,05,FIVE,Hayes Valley,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
623,Sausalito,2000,the castro,the castro,1 castro st,4122.0,484198,1 castro st,1,castro,st,94117,3781101,-122.43650548,37.7702463,"{'type': 'Point', 'coordinates': [-122.436505483, 37.770246301]}",SUPERVISORIAL DISTRICT 8,08,EIGHT,Haight Ashbury,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
624,Surface,2022,merchant road trail at presidio,merchant road trail at presidio,659 a merchant st,1901.0,504217,659 a merchant st,659,merchant,st,94111,8986000,-122.40426775,37.79473694,"{'type': 'Point', 'coordinates': [-122.404267748, 37.794736938]}",SUPERVISORIAL DISTRICT 3,03,THREE,Chinatown,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,A,
625,Americana,2015,coi restaurant (373 broadway),coi restaurant (373 broadway),373 broadway,3671.0,279159,373 broadway,373,broadway,,94133,3147000,-122.40337859,37.79809197,"{'type': 'Point', 'coordinates': [-122.40337859, 37.798091973]}",SUPERVISORIAL DISTRICT 3,03,THREE,North Beach,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
626,What's Up Doc?,1972,"st. peter & paul's church (666 filbert street, washington square)","st. peter & paul's church (666 filbert street, washington square)",1062 a washington st,4524.0,454868,1062 a washington st,1062,washington,st,94108,13423000,-122.41070291,37.79487256,"{'type': 'Point', 'coordinates': [-122.410702905, 37.794872563]}",SUPERVISORIAL DISTRICT 3,03,THREE,Chinatown,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
627,The Other Sister,1999,transbay terminal (mission street at 1st street),transbay terminal (mission street at 1st street),1021 a mission st,1877.0,490883,1021 a mission st,1021,mission,st,94103,9100000,-122.40890763,37.78033662,"{'type': 'Point', 'coordinates': [-122.408907625, 37.780336617]}",SUPERVISORIAL DISTRICT 6,06,SIX,South of Market,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
628,Guess Who's Coming to Dinner,1967,634 raycliff terrace,634 raycliff terrace,37 raycliff ter,4998.0,501574,37 raycliff ter,37,raycliff,ter,94115,10941000,-122.4428507,37.79264613,"{'type': 'Point', 'coordinates': [-122.442850695, 37.792646131]}",SUPERVISORIAL DISTRICT 2,02,TWO,Pacific Heights,2025-01-19T03:39:00.000,2025-01-19T10:04:00.630,,
629,The Dead Pool,1988,washington square park (north beach),washington square park (north beach),738 a washington st,1487.0,476781,738 a washington st,738,washington,st,94108,13411000,-122.4057807,37.79548406,"{'type': 'Point', 'coordinates': [-122.405780694, 37.79548406]}",SUPERVISORIAL DISTRICT 3,03,THREE,Chinatown,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
630,Vegas in Space,1992,corona heights park,corona heights park,10 corona st,1496.0,408810,10 corona st,10,corona,st,94127,4410000,-122.46723487,37.72194971,"{'type': 'Point', 'coordinates': [-122.46723487, 37.721949715]}",SUPERVISORIAL DISTRICT 7,07,SEVEN,West of Twin Peaks,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,
631,The Matrix Resurrections,2021,1 front st,1 front st,1 front st,4217.0,446454,1 front st,1,front,st,94111,5867000,-122.39862405,37.79185684,"{'type': 'Point', 'coordinates': [-122.398624053, 37.791856842]}",SUPERVISORIAL DISTRICT 3,03,THREE,Financial District/South Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
632,Nash Bridges,2021,rowland street,rowland street,Empty,,,,,,,,,,,,,,,,,,,
633,The Internship,2013,montgomery and union st.,montgomery and union st.,1 montgomery st,4375.0,281209,1 montgomery st,1,montgomery,st,94104,9297000,-122.4024186,37.78924955,"{'type': 'Point', 'coordinates': [-122.402418596, 37.789249549]}",SUPERVISORIAL DISTRICT 3,03,THREE,Financial District/South Beach,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
634,"Looking ""Special""",2016,1246 folsom street,1246 folsom street,1246 folsom st,3051.0,365258,1246 folsom st,1246,folsom,st,94103,5678000,-122.41099424,37.77458949,"{'type': 'Point', 'coordinates': [-122.410994239, 37.774589487]}",SUPERVISORIAL DISTRICT 6,06,SIX,South of Market,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,,
635,The Phone/Jexi,2019,regency ballroom - 1290 sutter st,regency ballroom - 1290 sutter st,1290 sutter st,2045.0,461151,1290 sutter st,1290,sutter,st,94109,12330000,-122.42138633,37.78785783,"{'type': 'Point', 'coordinates': [-122.421386333, 37.78785783]}",SUPERVISORIAL DISTRICT 3,03,THREE,Nob Hill,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
636,Summertime,2015,love street vintage (1506 haight & adjacent haight sidewalk_,love street vintage (1506 haight & adjacent haight sidewalk_,1560 a haight st,1161.0,422063,1560 a haight st,1560,haight,st,94117,6619000,-122.44803508,37.77015417,"{'type': 'Point', 'coordinates': [-122.448035079, 37.770154172]}",SUPERVISORIAL DISTRICT 5,05,FIVE,Haight Ashbury,2025-01-19T03:37:00.000,2025-01-19T10:04:00.630,A,
637,Always Be My Maybe,2019,22nd ave home,22nd ave home,10 22nd ave,1973.0,300639,10 22nd ave,10,22nd,ave,94121,1130000,-122.48174059,37.7870885,"{'type': 'Point', 'coordinates': [-122.481740585, 37.7870885]}",SUPERVISORIAL DISTRICT 1,01,ONE,Seacliff,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
638,The Laughing Policeman,1973,Empty,Empty,Empty,,,,,,,,,,,,,,,,,,,
639,Dopamine,2003,"south park (between 2nd and 3rd streets, brannan and bryant streets)","south park (between 2nd and 3rd streets, brannan and bryant streets)",134 a south park,2495.0,477735,134 a south park,134,south park,,94107,12009102,-122.39462117,37.78154242,"{'type': 'Point', 'coordinates': [-122.39462117, 37.781542417]}",SUPERVISORIAL DISTRICT 6,06,SIX,Financial District/South Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
640,"Murder in the First, Season 2",2015,435 broadway,435 broadway,435 broadway,2615.0,279144,435 broadway,435,broadway,,94133,3149000,-122.4044988,37.79789152,"{'type': 'Point', 'coordinates': [-122.404498798, 37.797891525]}",SUPERVISORIAL DISTRICT 3,03,THREE,North Beach,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
641,Magnum Force,1973,golden gate bridge,golden gate bridge,35 golden gate ave,4814.0,504218,35 golden gate ave,35,golden gate,ave,94102,6259000,-122.41125013,37.78205104,"{'type': 'Point', 'coordinates': [-122.411250124, 37.782051037]}",SUPERVISORIAL DISTRICT 5,05,FIVE,Tenderloin,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,,
642,Goliath- Season 4,2021,grant and commercial,grant and commercial,715 a commercial st,3300.0,490436,715 a commercial st,715,commercial,st,94108,4315000,-122.40500086,37.79384359,"{'type': 'Point', 'coordinates': [-122.405000861, 37.793843592]}",SUPERVISORIAL DISTRICT 3,03,THREE,Chinatown,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,A,
643,DEVS,2020,balmy alley,balmy alley,50 a balmy st,4804.0,505086,50 a balmy st,50,balmy,st,94110,2699000,-122.41261365,37.75178028,"{'type': 'Point', 'coordinates': [-122.41261365, 37.751780285]}",SUPERVISORIAL DISTRICT 9,09,NINE,Mission,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,A,
644,Looking Season 2 ep 209,2015,"muddy waters, 521 valencia street","muddy waters, 521 valencia street",521 valencia st,2295.0,451207,521 valencia st,521,valencia,st,94110,13060000,-122.42158237,37.76450466,"{'type': 'Point', 'coordinates': [-122.421582372, 37.764504657]}",SUPERVISORIAL DISTRICT 9,09,NINE,Mission,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
645,Looking,2014,golden gate park,golden gate park,35 golden gate ave,4814.0,504218,35 golden gate ave,35,golden gate,ave,94102,6259000,-122.41125013,37.78205104,"{'type': 'Point', 'coordinates': [-122.411250124, 37.782051037]}",SUPERVISORIAL DISTRICT 5,05,FIVE,Tenderloin,2025-01-19T03:40:00.000,2025-01-19T10:04:00.630,,
646,Chance- Season 1 ep109,2016,terry a. francois blvd.,terry a. francois blvd.,Empty,,,,,,,,,,,,,,,,,,,
647,Good NeighborSam,1964,various locations in san francisco during driving scene,various locations in san francisco during driving scene,370 a francisco st,2865.0,276017,370 a francisco st,370,francisco,st,94133,5760000,-122.41133108,37.80523289,"{'type': 'Point', 'coordinates': [-122.411331083, 37.805232888]}",SUPERVISORIAL DISTRICT 3,03,THREE,North Beach,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,A,
648,Hereafter,2010,the final final (2990 baker street),the final final (2990 baker street),2990 baker st,935.0,465767,2990 baker st,2990,baker,st,94123,2634000,-122.44569269,37.79852218,"{'type': 'Point', 'coordinates': [-122.44569269, 37.798522178]}",SUPERVISORIAL DISTRICT 2,02,TWO,Marina,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
649,Etruscan Smile,2017,broadway @ jones streets,broadway @ jones streets,1 jones st,4283.0,282022,1 jones st,1,jones,st,94102,7563000,-122.41243481,37.78137383,"{'type': 'Point', 'coordinates': [-122.412434805, 37.781373835]}",SUPERVISORIAL DISTRICT 5,05,FIVE,Tenderloin,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
650,Chance - Season 1 Pilot,2016,jefferson square park,jefferson square park,1 jefferson st,4279.0,461105,1 jefferson st,1,jefferson,st,94133,7455000,-122.4132503,37.80805367,"{'type': 'Point', 'coordinates': [-122.413250304, 37.808053668]}",SUPERVISORIAL DISTRICT 3,03,THREE,North Beach,2025-01-19T03:38:00.000,2025-01-19T10:04:00.630,,
651,The Phone/Jexi,2019,1151 montgomery st,1151 montgomery st,1151 montgomery st,537.0,278352,1151 montgomery st,1151,montgomery,st,94133,9312000,-122.40440713,37.79982633,"{'type': 'Point', 'coordinates': [-122.404407132, 37.799826328]}",SUPERVISORIAL DISTRICT 3,03,THREE,North Beach,2025-01-19T03:36:00.000,2025-01-19T10:04:00.630,,
